encoding^algoritmo^tiempo_segundos^tiempo_minutos^parametros_optimos^accuracy
AS-One Hot^SVM^128.0211009979248^2.13368501663208^{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}^0.9961832061068703
AS-One Hot^Random Forest^5.898473501205444^0.09830789168675741^{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}^0.9952290076335878
AS-One Hot^XGBoost^150.447601556778^2.507460025946299^{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9952290076335878
AS-K-mers^SVM^18.46753835678101^0.3077923059463501^{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}^0.9961832061068703
AS-K-mers^Random Forest^3.69354248046875^0.06155904134114584^{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 100}^0.9952290076335878
AS-K-mers^XGBoost^13.5481424331665^0.2258023738861084^{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9952290076335878
AS-FFT^SVM^9.619980335235596^0.1603330055872599^{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}^0.9961832061068703
AS-FFT^Random Forest^11.46602344512939^0.1911003907521566^{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}^0.9952290076335878
AS-FFT^XGBoost^139.3953154087067^2.323255256811778^{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9942748091603053
AS-Wavelet^SVM^20.34147667884827^0.3390246113141378^{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}^0.9961832061068703
AS-Wavelet^Random Forest^2.90909743309021^0.04848495721817016^{'max_depth': None, 'min_samples_split': 10, 'n_estimators': 50}^0.9952290076335878
AS-Wavelet^XGBoost^11.58171033859253^0.1930285056432088^{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9942748091603053
AS-K-mers + FFT^SVM^8.373577117919922^0.1395596186319987^{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}^0.9961832061068703
AS-K-mers + FFT^Random Forest^12.18453741073608^0.2030756235122681^{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}^0.9952290076335878
AS-K-mers + FFT^XGBoost^384.2493634223938^6.404156057039897^{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9942748091603053
AS-One Hot + FFT^SVM^48.73922944068909^0.8123204906781515^{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}^0.9961832061068703
AS-One Hot + FFT^Random Forest^50.09562873840332^0.8349271456400553^{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}^0.9952290076335878
AS-One Hot + FFT^XGBoost^352.5426249504089^5.875710415840149^{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9933206106870229
AS-K-mers + Wavelet^SVM^17.00716805458069^0.2834528009096781^{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}^0.9961832061068703
AS-K-mers + Wavelet^Random Forest^3.708619594573975^0.06181032657623291^{'max_depth': 30, 'min_samples_split': 5, 'n_estimators': 100}^0.9961832061068703
AS-K-mers + Wavelet^XGBoost^12.77901911735535^0.2129836519559224^{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}^0.9952290076335878
AS-One Hot + Wavelet^SVM^125.7350161075592^2.095583601792653^{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}^0.9961832061068703
