genus,model_class
Flavobacterium,0
Vibrio,1
Corynebacterium,2
Pseudomonas_E,3
Pelagibacter,4
Bradyrhizobium,5
Mycobacterium,6
Nocardioides,7
Streptomyces,8
Prevotella,9
Prochlorococcus_A,10
Streptococcus,11
Bifidobacterium,12
Novosphingobium,13
Pedobacter,14
Chryseobacterium,15
Micromonospora,16
Nocardia,17
Arthrobacter,18
Polynucleobacter,19
Pelagibacter_A,20
Collinsella,21
Acinetobacter,22
Mesorhizobium,23
Microbacterium,24
Methylobacterium,25
Rhizobium,26
Paracoccus,27
Paraburkholderia,28
Sphingomonas,29
