modelo,encoding,tiempo,iter
SVM,AS_One Hot,441.71417331695557,0
SVM,AS_One Hot,443.2776908874512,1
SVM,AS_One Hot,442.9024543762207,2
SVM,AS_One Hot,440.5844211578369,3
SVM,AS_One Hot,439.59970021247864,4
RandomForest,AS_One Hot,7.649937868118286,0
RandomForest,AS_One Hot,7.634437084197998,1
RandomForest,AS_One Hot,7.60509729385376,2
RandomForest,AS_One Hot,7.64074182510376,3
RandomForest,AS_One Hot,7.85431432723999,4
XGBoost,AS_One Hot,151.46452140808105,0
XGBoost,AS_One Hot,150.29079747200012,1
XGBoost,AS_One Hot,151.75140237808228,2
XGBoost,AS_One Hot,150.55512928962708,3
XGBoost,AS_One Hot,150.2197105884552,4
SVM,AS_K-mers,45.58264970779419,0
SVM,AS_K-mers,45.78938174247742,1
SVM,AS_K-mers,45.71333050727844,2
SVM,AS_K-mers,45.88385558128357,3
SVM,AS_K-mers,46.10968732833862,4
RandomForest,AS_K-mers,5.572835922241211,0
RandomForest,AS_K-mers,5.573547601699829,1
RandomForest,AS_K-mers,5.568711042404175,2
RandomForest,AS_K-mers,5.572964191436768,3
RandomForest,AS_K-mers,5.57776403427124,4
XGBoost,AS_K-mers,91.39601445198059,0
XGBoost,AS_K-mers,90.96030974388123,1
XGBoost,AS_K-mers,90.2580029964447,2
XGBoost,AS_K-mers,90.97223806381226,3
XGBoost,AS_K-mers,91.1767110824585,4
SVM,AS_FFT,23.821857690811157,0
SVM,AS_FFT,23.87568211555481,1
SVM,AS_FFT,23.998865842819214,2
SVM,AS_FFT,23.965094804763794,3
SVM,AS_FFT,23.949894666671753,4
RandomForest,AS_FFT,32.46910309791565,0
RandomForest,AS_FFT,32.22580933570862,1
RandomForest,AS_FFT,32.16741418838501,2
RandomForest,AS_FFT,32.52985215187073,3
RandomForest,AS_FFT,33.19268178939819,4
XGBoost,AS_FFT,130.34158968925476,0
XGBoost,AS_FFT,131.06034088134766,1
XGBoost,AS_FFT,130.96248817443848,2
XGBoost,AS_FFT,131.02671432495117,3
XGBoost,AS_FFT,131.1164207458496,4
SVM,AS_Wavelet,68.28000712394714,0
SVM,AS_Wavelet,68.47543120384216,1
SVM,AS_Wavelet,68.48607897758484,2
SVM,AS_Wavelet,68.51621651649475,3
SVM,AS_Wavelet,68.52962923049927,4
RandomForest,AS_Wavelet,1.7488634586334229,0
RandomForest,AS_Wavelet,1.7407598495483398,1
RandomForest,AS_Wavelet,1.7413113117218018,2
RandomForest,AS_Wavelet,1.7401509284973145,3
RandomForest,AS_Wavelet,1.7441017627716064,4
XGBoost,AS_Wavelet,45.04280948638916,0
XGBoost,AS_Wavelet,44.17763042449951,1
XGBoost,AS_Wavelet,44.42650651931763,2
XGBoost,AS_Wavelet,44.17295050621033,3
XGBoost,AS_Wavelet,44.182780265808105,4
SVM,AS_K-mers + FFT,21.594926118850708,0
SVM,AS_K-mers + FFT,21.69817042350769,1
SVM,AS_K-mers + FFT,21.730677127838135,2
SVM,AS_K-mers + FFT,21.737210750579834,3
SVM,AS_K-mers + FFT,21.702853202819824,4
RandomForest,AS_K-mers + FFT,23.944509506225586,0
RandomForest,AS_K-mers + FFT,24.80774974822998,1
RandomForest,AS_K-mers + FFT,24.22383403778076,2
RandomForest,AS_K-mers + FFT,24.028149366378784,3
RandomForest,AS_K-mers + FFT,23.92222833633423,4
XGBoost,AS_K-mers + FFT,125.60339879989624,0
XGBoost,AS_K-mers + FFT,125.56082510948181,1
XGBoost,AS_K-mers + FFT,125.58816385269165,2
XGBoost,AS_K-mers + FFT,125.61785864830017,3
XGBoost,AS_K-mers + FFT,125.58615207672119,4
SVM,AS_One Hot + FFT,191.08167338371277,0
SVM,AS_One Hot + FFT,191.59585905075073,1
SVM,AS_One Hot + FFT,191.68871474266052,2
SVM,AS_One Hot + FFT,189.40627789497375,3
SVM,AS_One Hot + FFT,189.4627525806427,4
RandomForest,AS_One Hot + FFT,60.56576442718506,0
RandomForest,AS_One Hot + FFT,56.85400915145874,1
RandomForest,AS_One Hot + FFT,57.37260341644287,2
RandomForest,AS_One Hot + FFT,60.330549478530884,3
RandomForest,AS_One Hot + FFT,56.969335079193115,4
XGBoost,AS_One Hot + FFT,865.0575392246246,0
XGBoost,AS_One Hot + FFT,862.1055192947388,1
XGBoost,AS_One Hot + FFT,863.5568797588348,2
XGBoost,AS_One Hot + FFT,864.6562061309814,3
XGBoost,AS_One Hot + FFT,864.8778114318848,4
SVM,AS_K-mers + Wavelet,43.007617712020874,0
SVM,AS_K-mers + Wavelet,43.336331605911255,1
SVM,AS_K-mers + Wavelet,43.24803352355957,2
SVM,AS_K-mers + Wavelet,43.25589108467102,3
SVM,AS_K-mers + Wavelet,43.21904253959656,4
RandomForest,AS_K-mers + Wavelet,4.939584970474243,0
RandomForest,AS_K-mers + Wavelet,4.924162864685059,1
RandomForest,AS_K-mers + Wavelet,5.14577841758728,2
RandomForest,AS_K-mers + Wavelet,4.937929153442383,3
RandomForest,AS_K-mers + Wavelet,4.928208827972412,4
XGBoost,AS_K-mers + Wavelet,134.4644329547882,0
XGBoost,AS_K-mers + Wavelet,134.2441201210022,1
XGBoost,AS_K-mers + Wavelet,134.29962944984436,2
XGBoost,AS_K-mers + Wavelet,134.29211378097534,3
XGBoost,AS_K-mers + Wavelet,134.45558905601501,4
SVM,AS_One Hot + Wavelet,431.11707520484924,0
SVM,AS_One Hot + Wavelet,432.4358949661255,1
SVM,AS_One Hot + Wavelet,431.4208023548126,2
SVM,AS_One Hot + Wavelet,432.562771320343,3
SVM,AS_One Hot + Wavelet,430.08871817588806,4
RandomForest,AS_One Hot + Wavelet,2.6446125507354736,0
RandomForest,AS_One Hot + Wavelet,2.6328814029693604,1
RandomForest,AS_One Hot + Wavelet,2.634223461151123,2
RandomForest,AS_One Hot + Wavelet,2.634280204772949,3
RandomForest,AS_One Hot + Wavelet,2.6368112564086914,4
XGBoost,AS_One Hot + Wavelet,251.15140414237976,0
XGBoost,AS_One Hot + Wavelet,251.5391116142273,1
XGBoost,AS_One Hot + Wavelet,250.85163187980652,2
XGBoost,AS_One Hot + Wavelet,248.4838671684265,3
